Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
1114,"Nov 14, 2024","Nov 20, 2024","Nov 21, 2024",Current,"Meridian St Total Closure, North of Horsehill Rd",Meridian Street NW,Horsehill Road NW,227 Avenue NE,Total Closure,One Night (7PM to 7AM),Meridian Street will be totally closed North of Horsehill Road. Local access will be maintained from either side of the closure up to the worksite.,Utility Repair,Construction,Northeast,Road,POINT (-113.344281343234 53.686825004615)
1082,"Nov 04, 2024","Nov 15, 2024","Nov 24, 2024",Revised,"Road Closure: Ellerslie Rd, Rabbit Hill Rd-141 St",Ellerslie Road SW,Rabbit Hill Road SW,141 Street SW,Total Closure,9 Nights,"From November 15th to November 24th, Ellerslie Rd will be closed from Rabbit Hill Rd to 141 St (10 pm - 5:30 am). Local access maintained. Follow detours.",Temp Crossing Construction,Construction,Southwest,Road,POINT (-113.589835739629 53.425074385191)
1083,"Nov 04, 2024","Nov 19, 2024","Nov 19, 2024",Current,#1 Single lane closure Northbound,Whitemud Drive NW,Fox Drive NW,149 Street NW,Travel Delays,1 Day,#1 Northbound lane closure on Whitemud Drive from Fox Dr - 149 St due to adrainage inspection. Lane closure limited to off-peak hours only. Speed reduced accordingly. Expect travel delays.,Drainage Inspection,Construction,Southwest,Road,POINT (-113.57854280028 53.513634428665)
837,"Sep 03, 2024","Sep 04, 2024","Nov 15, 2024",Current,50 St reduced to single lane,50 Street Northbound SW,22 Avenue SW,Watt Common Eastbound SW,Major Delays,2 months,50 St SW will be reduced to a single lane each way starting noon Sep 4 for sewer install. No northbound to westbound left turns at 22 Ave SW and Watt Common SW. Use 41 Ave SW or Ellerslie as detour. Extended to November 15.,Sewer install,Construction,Southeast,Road,POINT (-113.418035048579 53.413973530051)
1082,"Nov 04, 2024","Nov 15, 2024","Nov 24, 2024",Revised,"Road Closure: Ellerslie Rd, Rabbit Hill Rd-141 St",Ellerslie Road SW,Rabbit Hill Road SW,141 Street SW,Total Closure,9 Nights,"From November 15th to November 24th, Ellerslie Rd will be closed from Rabbit Hill Rd to 141 St (10 pm - 5:30 am). Local access maintained. Follow detours.",Temp Crossing Construction,Construction,Southwest,Road,POINT (-113.56401383717 53.424914430153)
823,"Aug 30, 2024","Aug 28, 2024","Nov 13, 2024",Revised,137 Ave Curb lane Closure,137 Avenue NW,Victoria Trail,36 Street NW,Travel Delays,Four Months,Westbound 137 Avenue Curb lane closure.,Hairsine Neighbourhood Rehab,Construction,Northeast,Road,POINT (-113.396324436916 53.599289969536)
823,"Aug 30, 2024","Aug 28, 2024","Nov 13, 2024",Revised,137 Ave Curb lane Closure,137 Avenue NW,Victoria Trail,36 Street NW,Travel Delays,Four Months,Westbound 137 Avenue Curb lane closure.,Hairsine Neighbourhood Rehab,Construction,Northeast,Road,POINT (-113.386121301163 53.599656479455)
702,"Jul 31, 2024","Jul 31, 2024","Nov 15, 2024",Current,88B Av Closure,88B Avenue NW,Meadowlark Road NW,159A Street NW,Total Closure,3 Months,Total closure of 88B Avenue at Meadowlark Road NW. For more information visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.594694070932 53.522115635345)
306,"Apr 29, 2024","Apr 29, 2024","Nov 15, 2024",Current,127 St Closure,127 Street NW,Stony Plain Road NW,106 Avenue NW,Total Closure,6 Months,"127 St, Stony Plain Road - 105 Av is closed. Cyclist and pedestrian accomodation is maintained. For more information please visit: https://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Central,Sidewalk,POINT (-113.541173014196 53.547555194176)
308,"Apr 29, 2024","Apr 29, 2024","Nov 15, 2024",Current,125 St Closure,125 Street NW,Stony Plain Road NW,105 Avenue NW,Total Closure,6 Months,"125 St, Stony Plain Rd - 105 Av is closed. For more information please visit: https://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.537671330307 53.547118141318)
1055,"Oct 29, 2024","Nov 18, 2024","Nov 25, 2024",Revised,"106 St closed,  102 Ave to approx. 100m South",106 Street NW,102 Avenue NW,Jasper Avenue,Total Closure,1 Week,"106 St closed from 102 Ave to approx. 100m south of 102 Ave, West sidewalk and 106 St bike facility access maintained via an on-street shared pathway within the closure. East sidewalk will be unaffected.",Water Line Installation,Construction,Central,Road and Sidewalk,POINT (-113.502910002019 53.543012266882)
1087,"Nov 05, 2024","Nov 06, 2024","Nov 29, 2024",Current,80 AV Total Closure,80 Avenue NW,107 Street NW,108 Street NW,Total Closure,Three + weeks,Road closed to vehicle access. Detour using other routes.,Waterline Install,Construction,Central,Road,POINT (-113.506316354026 53.516144081716)
304,"Apr 29, 2024","Apr 29, 2024","Nov 15, 2024",Current,129 St Closure,129 Street NW,Stony Plain Road NW,106 Avenue NW,Total Closure,6 Months,129 St is closed on the north side of Stony Plain Road. Local acess Maintained from 106 Av. For more information please visit: https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.54453988402 53.547972148523)
1056,"Oct 29, 2024","Nov 16, 2024","Nov 16, 2024",Current,124 Street Closure,124 Street NW,107 Avenue NW,111 Avenue NW,Total Closure,1 Day (7 am - 12am),"Total closure of 124 St, 107 Av - 109 Av and 108 Av, 123 St - 125 St.  SB closure of 124 St, 111 Av - 109 Av.",All Is Bright Special Event,Special Event,Central,Road,POINT (-113.535895426568 53.558894442844)
1056,"Oct 29, 2024","Nov 16, 2024","Nov 16, 2024",Current,124 Street Closure,124 Street NW,107 Avenue NW,111 Avenue NW,Total Closure,1 Day (7 am - 12am),"Total closure of 124 St, 107 Av - 109 Av and 108 Av, 123 St - 125 St.  SB closure of 124 St, 111 Av - 109 Av.",All Is Bright Special Event,Special Event,Central,Road,POINT (-113.535895575658 53.550969967965)
1057,"Oct 29, 2024","Nov 04, 2024","Nov 18, 2024",Current,95 Av Reduced to 1 Lane Each Way,95 Avenue NW,148 Street NW,153 Street NW,Travel Delays,2 Weeks,95 Av will be reduced to one lane each way.,Sewer Repairs,Construction,Northwest,Road,POINT (-113.576273398012 53.531517565073)
837,"Sep 03, 2024","Sep 04, 2024","Nov 15, 2024",Current,50 St reduced to single lane,50 Street Northbound SW,22 Avenue SW,Watt Common Eastbound SW,Major Delays,2 months,50 St SW will be reduced to a single lane each way starting noon Sep 4 for sewer install. No northbound to westbound left turns at 22 Ave SW and Watt Common SW. Use 41 Ave SW or Ellerslie as detour. Extended to November 15.,Sewer install,Construction,Southeast,Road,POINT (-113.417824881898 53.421166151062)
1083,"Nov 04, 2024","Nov 19, 2024","Nov 19, 2024",Current,#1 Single lane closure Northbound,Whitemud Drive NW,Fox Drive NW,149 Street NW,Travel Delays,1 Day,#1 Northbound lane closure on Whitemud Drive from Fox Dr - 149 St due to adrainage inspection. Lane closure limited to off-peak hours only. Speed reduced accordingly. Expect travel delays.,Drainage Inspection,Construction,Southwest,Road,POINT (-113.565596412939 53.502879927141)
1059,"Oct 29, 2024","Oct 28, 2024","Dec 31, 2024",Current,Yellowhead Tr North Service Rd Closure,Yellowhead Trail NW,127 Street NW,St Albert Trail NW,Total Closure,2 Months,"Total closure of the Yellowhead Tr North Service Rd from West of 129 St to East of 128 St. Local access to 129 St, 128 St, and 126 Av maintained from 127 St.",YHT Freeway Conversion,Construction,Northwest,Road,POINT (-113.54124322478 53.580705089804)
368,"Oct 03, 2024","May 15, 2024","Nov 30, 2024",Current,88 AV Total Closure,88 Avenue NW,95 Street NW,96 Street NW,Total Closure,Six + months,"88 AV, 95-96 ST closed for drainage  installation. Detour using other routes.",Drainage Install,Construction,Central,Road,POINT (-113.473089804731 53.523496185375)
1073,"Oct 31, 2024","Nov 11, 2024","Nov 16, 2024",Current,Siskin Wynd Total Closure,Siskin Wynd NW,Goldfinch Way NW,,Total Closure,1 Week,Starting Nov. 11th Siskin Wynd will be closed 200m west of Goldfinch Way. Local access maintained. Follow posted detour markers.,Waterline Install,Construction,Northwest,Road,POINT (-113.693573952617 53.572912976798)
1103,"Nov 08, 2024","Nov 30, 2024","Nov 30, 2024",Current,79 ST & 94 AV Intersection Closure,79 Street NW,95 Avenue NW,93A Avenue NW,Total Closure,One Day,Intersection of 79 ST & 94 AV closed to vehicle traffic between 08:00-17:00hrs. Local access will be maintained. Detour using other routes.,Drainage Repairs/Inspection,Construction,Central,Road,POINT (-113.448333031835 53.528496721668)
910,"Sep 18, 2024","Sep 23, 2024","Oct 28, 2024",Current,Southbound 66 St Delays,66 STREET NW,41 AVENUE NW,38 AVENUE NW,Travel Delays,14 Weeks,"66 St will have a single lane closed daily from 7:00 am - 3:30 pm. For the week of Sep 23rd, The lane reduction will be in place full time including p.m. peak periods. Expect delays.",Road Work,Construction,Southeast,Road,POINT (-113.441920375641 53.478530418544)
910,"Sep 18, 2024","Sep 23, 2024","Oct 28, 2024",Current,Southbound 66 St Delays,66 STREET NW,41 AVENUE NW,38 AVENUE NW,Travel Delays,14 Weeks,"66 St will have a single lane closed daily from 7:00 am - 3:30 pm. For the week of Sep 23rd, The lane reduction will be in place full time including p.m. peak periods. Expect delays.",Road Work,Construction,Southeast,Road,POINT (-113.439235492951 53.474351295897)
1059,"Oct 29, 2024","Oct 28, 2024","Dec 31, 2024",Current,Yellowhead Tr North Service Rd Closure,Yellowhead Trail NW,127 Street NW,St Albert Trail NW,Total Closure,2 Months,"Total closure of the Yellowhead Tr North Service Rd from West of 129 St to East of 128 St. Local access to 129 St, 128 St, and 126 Av maintained from 127 St.",YHT Freeway Conversion,Construction,Northwest,Road,POINT (-113.556916993673 53.581146389237)
1057,"Oct 29, 2024","Nov 04, 2024","Nov 18, 2024",Current,95 Av Reduced to 1 Lane Each Way,95 Avenue NW,148 Street NW,153 Street NW,Travel Delays,2 Weeks,95 Av will be reduced to one lane each way.,Sewer Repairs,Construction,Northwest,Road,POINT (-113.585053683398 53.531533849836)
701,"Jul 31, 2024","Jul 31, 2024","Nov 16, 2024",Current,89 Av Closure,89 Avenue NW,Meadowlark Road NW,160 Street NW,Total Closure,3 Months,Total closure of 89 Avenue at Meadowlark Road NW. For more information visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.593598862826 53.5226464544)
876,"Sep 10, 2024","Sep 10, 2024","Nov 25, 2024",Current,Meridian St; Horsehills Rd to 227 Ave - Flagging,Meridian Street NW,Horsehills  Road NW,227 Avenue NW,Travel Delays,52 Days,"Sections of Meridian Street from Horsehills Road to 227 Avenue will be under Flag person control for a Power Installation. Work is to take place from September 10th to October 31, During weekdays from the hours of 9:00 am to 3:30 pm.",Power Install,Construction,Northeast,Road,POINT (-113.344281343234 53.686825004615)
1058,"Oct 29, 2024","Nov 16, 2024","Nov 16, 2024",Current,105 Av Closure,105 Avenue NW,124 Street NW,123 Street NW,Total Closure,9 Hours (3 pm - 12am),Total closure of 105 Av from 124 St to 25 Meters east of 124 St to accommodate the All is Bright Festival.,All Is Bright Special Event,Special Event,Central,Road,POINT (-113.535887361198 53.547788201306)
1103,"Nov 08, 2024","Nov 30, 2024","Nov 30, 2024",Current,79 ST & 94 AV Intersection Closure,79 Street NW,95 Avenue NW,93A Avenue NW,Total Closure,One Day,Intersection of 79 ST & 94 AV closed to vehicle traffic between 08:00-17:00hrs. Local access will be maintained. Detour using other routes.,Drainage Repairs/Inspection,Construction,Central,Road,POINT (-113.448619558203 53.533260529268)
307,"Apr 29, 2024","Apr 29, 2024","Nov 15, 2024",Current,126 St Closure,126 Street NW,Stony Plain Road NW,105 Avenue NW,Total Closure,6 Months,"126 St, Stony Plain Rd - 105 Av is closed. For more information please visit: https://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.539446732371 53.547339745478)
715,"Aug 06, 2024","Aug 09, 2024","Nov 15, 2024",Current,123 St Closure,123 Street NW,Stony Plain Road NW,,Total Closure,3 Months,Total Closure of 123 St on the North side of Stony Plain Road. For more information visit https://marigoldinfra.ca/current-construction-notices/,WLRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.534120699464 53.546659099346)
1104,"Nov 08, 2024","Nov 12, 2024","Nov 17, 2024",Revised,Lane Reduction on 97 Ave WBD,97 Avenue NW,104 Street NW,105 Street,Increased Travel Time,,"Starts Tues. Nov 12 at 9am. 97 Ave WBD from 104 St - 105 St reduced to single thru lane, right turn bay maintained. Single lane  closed on 105 St NBD, 96 Avve - 97 Ave. Detour using other route.",Drainage Repair,Construction,Central,Road,POINT (-113.498995970345 53.533904625417)
923,"Sep 20, 2024","Sep 20, 2024","Nov 09, 2024",Revised,153 Av; Ebbers Blvd - 34 St Reduced to one lane EB,153 Avenue,Ebbers Boulevard NW,34 Street NW,Travel Delays,1 Month,153 Avenue between Ebbers Boulevard and 34 Street in the Eastbound direction will be reduced to one lane from September 20th to October 27th.,Road Construction,Construction,Northeast,Road,POINT (-113.393626562209 53.615361287563)
1117,"Nov 15, 2024","Nov 15, 2024","Nov 18, 2024",Current,#1 Single Lane Closure Westbound,Ellerslie Road SW,103A Street SW,109 Street SW,Major Delays,4 Days,Ellerslie Rd westbound from 103A St to 109 St will be reduced down to one lane due to an emergency water valve repair. Lane closure to go through peak hours. Expect Major Delays.,Emergency Waterline Repair,Construction,Southwest,Road,POINT (-113.496050930407 53.424813689612)
7,"Jan 12, 2023","Dec 29, 2022","Nov 20, 2024",Current,Stony Plain Road Closure,Stony Plain Road,129 Street NW,131 Street NW,Total Closure,23 Months,"Stony Plain Road will be closed from 7pm on Thursday, December 29 until November 30, 2024 for the removal and replacement of the bridge over Groat Road. Use other routes.",Bridge Structure Replacement,Construction,Northwest,Road and Sidewalk,POINT (-113.54453988402 53.547972148523)
1108,"Nov 13, 2024","Nov 16, 2024","Nov 17, 2024",Current,Split to north & No Left Turns,Ellerslie Road SW,103A Street SW,Calgary Trail,Major Delays,1 day,Ellerslie Rd SW will be split to the north. No left turn on to Calgary Trail on ramp from Ellerslie Rd westbound. No left turn westbound to southbound 103A St SW. Use James Mowatt Trail to access Calgary Trail. **End date changed to Nov 17.,Utility work,Construction,Southeast,Road,POINT (-113.496050930407 53.424813689612)
11,"Apr 24, 2023","Apr 24, 2023","Nov 30, 2024",Revised,Single Lane Closures,34 Street NW,Whitemud Drive NW,64 Avenue NW,Travel Delays,19 Months,Roper Rd NW Closure btw 36 Street NW and 34 Street NW. Follow detour signs. Occasional two way flagging operations expected during off-peak hours only. All speed reduced accordingly. Expect travel delays. **Extended Nov 30**,Road Construction,Construction,Southeast,Road,POINT (-113.393824349973 53.501210358159)
863,"Sep 06, 2024","May 21, 2024","Nov 25, 2024",Current,Griesbach Road Construction,Griesbach Road,104 Street NW,149 Avenue NW,Total Closure,5 Months,Griesbach Road and sidewalks closed from 104 St (Sir Arthur Currie Way) to 149 Ave (Sir Arthur Currie Way),Road Construction,Construction,Northeast,Road and Sidewalk,POINT (-113.507764610055 53.609991969235)
1022,"Oct 17, 2024","Oct 18, 2024","Nov 15, 2024",Revised,Northbound Directional Closure,103 Street NW,102 Avenue NW,103 Avenue NW,Directional Closure,,"Starts Fri. Oct 18, 103 St NB closed from 103 Ave to the alley south of 103 Ave due to power installation. Temporary two way traffic maintained during major Rogers Place events. Local access maintained. Left turn permitted on 103 St-102 Ave",Power Installation,Construction,Central,Road,POINT (-113.497407897619 53.543013110104)
1088,"Nov 05, 2024","Nov 07, 2024","Nov 25, 2024",Current,"123 St Closed, 102 Ave - 80m N/O Jasper Ave",123 Street NW,Jasper Avenue,102 Avenue NW,Total Closure,"3 Days (Nov 7, Nov 15, Nov 25)","On Nov 07, Nov 15, and Nov 25: 123 St will be closed from 102 Ave to approx. 80m north of Jasper Ave. Local access will be maintained from Jasper Ave to the south end of the closure. The roadway will be open in between closure events.",Concrete Pour,Construction,Central,Road,POINT (-113.534111732119 53.541426874292)
698,"Jul 31, 2024","Sep 11, 2024","Nov 30, 2024",Revised,"103 Ave Closed, 116 St - Alley W/O 116 St",103 Avenue NW,116 Street NW,117 Street NW,Total Closure,Various - intermittent,103 Ave will be closed intermittently from 116 St to the alley west of 116 St.,Concrete Pour,Construction,Central,Road,POINT (-113.521294345157 53.544614850488)
758,"Aug 16, 2024","Aug 19, 2024","Nov 01, 2024",Current,97 St southbound directional closure,97 Street NW,63 Avenue NW,51 Avenue NW,Directional Closure,11 Weeks,97 St from 63 Ave to 51 Ave will be directionals closed southbound for road reconstruction. Use 91 St or 99 St as detours.,Road reconstruction,Construction,Southeast,Road and Sidewalk,POINT (-113.479430414313 53.499872801481)
42,"Mar 09, 2023","Jan 01, 2024","Dec 31, 2024",Current,97 ST Total Closure,97 Street NW,79 Avenue NW,80 Avenue NW,Total Closure,One Year,"97 ST, 79-80 AV northbound and southbound closed for drainage shaft installation. Pedestrian detour as per posted signage. Local access will be maintained. Detour using other routes.",Drainage Shaft Installation,Construction,Central,Road,POINT (-113.479762569485 53.515145697861)
758,"Aug 16, 2024","Aug 19, 2024","Nov 01, 2024",Current,97 St southbound directional closure,97 Street NW,63 Avenue NW,51 Avenue NW,Directional Closure,11 Weeks,97 St from 63 Ave to 51 Ave will be directionals closed southbound for road reconstruction. Use 91 St or 99 St as detours.,Road reconstruction,Construction,Southeast,Road and Sidewalk,POINT (-113.479384287383 53.48806093274)
902,"Sep 17, 2024","Sep 16, 2024","Nov 15, 2024",Revised,97 Av Clousre,97 Avenue NW,156 Street NW,155 Street NW,Total Closure,2 Month,"Closure of 97 Av, 156 St - 155 St. For more info visit https://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590318929556 53.534628145734)
534,"Jun 20, 2024","Jun 20, 2024","Nov 15, 2024",Revised,99 Av Closure,99 Avenue NW,156 Street NW,155 Street NW,Total Closure,5 Months,"Total Closure of 99 Av, 156 St - 155 St. For more information visit https://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590313684413 53.537606921066)
535,"Jun 20, 2024","Jun 20, 2024","Nov 15, 2024",Revised,98 Av Closure,98 Avenue NW,156 Street NW,155 Street NW,Total Closure,5 Months,"Total Closure of 98 Av, 156 St - 155 St. For more information visithttps://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590305943444 53.536181593557)
220,"Apr 08, 2024","Apr 15, 2024","Nov 07, 2024",Revised,Southbound 109 St Reduced to Two Lanes,109 Street NW,100 Avenue NW,99 Avenue NW,Travel Delays,6.5 Months,The southbound right lane of 109 St will be closed from south of 100 Ave to north of 99 Ave. A speed reduction to 40 km/hr will be in place for the duration of the lane closure.,Patio Boardwalk Space,Special Event,Central,Road,POINT (-113.508411860217 53.53883732231)
863,"Sep 06, 2024","May 21, 2024","Nov 25, 2024",Current,Griesbach Road Construction,Griesbach Road,104 Street NW,149 Avenue NW,Total Closure,5 Months,Griesbach Road and sidewalks closed from 104 St (Sir Arthur Currie Way) to 149 Ave (Sir Arthur Currie Way),Road Construction,Construction,Northeast,Road and Sidewalk,POINT (-113.499786153344 53.608103890601)
1097,"Nov 07, 2024","Nov 16, 2024","Dec 12, 2024",Current,103 St Lane Reduction,103 Street NW,102 Avenue NW,103 Avenue NW,Increased Travel Time,4 Weeks,"Starts Sat Oct. 16, 103 St from 103 Ave to alley south of 103 Ave reduced to single lane in each direction. Bike lane closed, temporary shared pathway on the west sidewalk. Parking ban in effect.",Ductline Installation,Construction,Central,Road and Sidewalk,POINT (-113.497407897619 53.543013110104)
923,"Sep 20, 2024","Sep 20, 2024","Nov 09, 2024",Revised,153 Av; Ebbers Blvd - 34 St Reduced to one lane EB,153 Avenue,Ebbers Boulevard NW,34 Street NW,Travel Delays,1 Month,153 Avenue between Ebbers Boulevard and 34 Street in the Eastbound direction will be reduced to one lane from September 20th to October 27th.,Road Construction,Construction,Northeast,Road,POINT (-113.39951388996 53.614170004861)
632,"Jul 16, 2024","Jul 22, 2024","Nov 12, 2024",Revised,117 Ave Closure,117 Avenue NW,85 Street NW,86 Street NW,Total Closure,2.5 Months,"Starts July 22, 117 Ave, 85 St - 86 St closed due to drainage repair. Detour using other route. Epcor Parkdale Dry Pond Stage 1 project.",Drainage Repair,Construction,Central,Road,POINT (-113.471806641629 53.568885034733)
903,"Sep 17, 2024","Sep 16, 2024","Nov 15, 2024",Current,96 Av Closure,96 Avenue NW,156 Street NW,155 Street NW,Total Closure,2 Month,"Closure of 96 Av, 156 St - 155 St. For more info visit https://marigoldinfra.ca/current-construction-notices/",WLRT construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590340169955 53.533085567383)
905,"Sep 17, 2024","Sep 20, 2024","Nov 25, 2024",Revised,93A Av Closure,93A Avenue NW,156 Street NW,157 Street NW,Total Closure,2 Months,"Total closure of 93A Av, 156 St - 157 St. For more info visit https://marigoldinfra.ca/current-construction-notices/",WLRT Construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590400493576 53.529171772046)
101,"Jan 31, 2024","Feb 13, 2024","Aug 01, 2025",Revised,107 Street WLRT closure,107 Street NW,102 Avenue NW,104 Avenue NW,Total Closure,Long Term Project,"107 Street, 103 Av - 104 Av SB will be closed permanantly. NB will be reduced to a single lane.107 St, 102 Av - 103 Av will be closed to all traffic except for Fire Hall Access. 103 Av at 107 St will be reduced to a single lane each way.",West LRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.504744057038 53.546229418426)
2,"Jun 14, 2022","Jun 20, 2022","Jun 20, 2026",Current,Stony Plain Rd/149 St Reduced to 1 Lane Each W,Stony Plain Road,139 Street NW,157 Street NW,Travel Delays,4 Years,"Stony Plain Rd, from 139 St - 157 St, and 149 St, from 100 Av - 102 Av, will be reduced to 1 lane in each direction for LRT construction work. Use other routes. Various sidewalk closures will also be required for this and pedestrians will be detoured.",WLRT Construction,Construction,Northeast,Road,POINT (-113.592080655322 53.541294164463)
957,"Oct 01, 2024","Oct 07, 2024","Nov 29, 2024",Current,Reduced to one lane northbound,111 Street,9 Avenue,12 Avenue,Increased Travel Time,54 Days,111 Street is reduced to one lane northbound.,Capital Line Utility Work,Construction,Southwest,Road,POINT (-113.51825745689 53.439398577253)
957,"Oct 01, 2024","Oct 07, 2024","Nov 29, 2024",Current,Reduced to one lane northbound,111 Street,9 Avenue,12 Avenue,Increased Travel Time,54 Days,111 Street is reduced to one lane northbound.,Capital Line Utility Work,Construction,Southwest,Road,POINT (-113.517783500955 53.442796592603)
986,"Oct 31, 2024","Oct 08, 2024","Nov 20, 2024",Current,93 AV Total Closure,93 Avenue NW,94 Street NW,96 Street NW,Total Closure,1+ Month,93 AV closed to vehicle traffic between the alley west of 94 ST to 96 ST. Detour using other routes.,Water Install,Construction,Central,Road and Sidewalk,POINT (-113.47153545538 53.52897128609)
2,"Jun 14, 2022","Jun 20, 2022","Jun 20, 2026",Current,Stony Plain Rd/149 St Reduced to 1 Lane Each W,Stony Plain Road,139 Street NW,157 Street NW,Travel Delays,4 Years,"Stony Plain Rd, from 139 St - 157 St, and 149 St, from 100 Av - 102 Av, will be reduced to 1 lane in each direction for LRT construction work. Use other routes. Various sidewalk closures will also be required for this and pedestrians will be detoured.",WLRT Construction,Construction,Northeast,Road,POINT (-113.561369862065 53.543604267429)
1063,"Oct 30, 2024","Nov 12, 2024","Apr 01, 2025",Current,"116 St, 104 Ave - 105 Ave, One lane each way",116 Street NW,104 Avenue NW,105 Avenue NW,Travel Delays,5 Months,"116 St, 104 Av - 105 Av reduced to one lane each way (Single lane closures Nov 12 - 14 & Split to W/S starting Nov 15). Movements maintained at 104 Ave, Unity Square & 105 Ave intersections. 116 St east sidewalk closed, Unity Square intersection to 105 Av",Drainage Shaft Install,Construction,Central,Road and Sidewalk,POINT (-113.521275302727 53.546316388464)
5,"May 19, 2022","Jun 15, 2022","May 31, 2025",Revised,99 Av Closure,99 Avenue NW,150 Street NW,151 Street NW,Total Closure,3 Years,99 Av will be closed from 150 St - 151 St for the construction of a drainage tunnel shaft. Use other routes.*New end date and duration*,Drainage Shaft Construction,Construction,Northeast,Road and Sidewalk,POINT (-113.579777572248 53.537718752109)
1118,"Nov 16, 2024","Nov 16, 2024","Nov 16, 2024",Current,Reduced to one lane all directions,111 Street,23 Avenue,,Travel Delays,7 hours (1p.m. - 8 p.m.),The intersection of 23 Avenue and 111 Street is reduced to one lane in each direction due to traffic signal work required for realignment of the intersection for Capital Line Extension Project.  Police Point Duty on site.,Realignment of Intersection,Construction,Southwest,Road,POINT (-113.516382345588 53.453913402392)
1119,"Nov 16, 2024","Nov 16, 2024","Nov 23, 2024",Current,Reduced to one lane northbound,111 Street,23 Avenue,25 Avenue,Increased Travel Time,1 week,111 Street northbound from the southside of 23 Avenue to 25 Avenue is reduced to single lane due to EPCOR Water Hydrant Removal.  Keep left,EPCOR Water Hydrant Removal,Construction,Southwest,Road,POINT (-113.516382345588 53.453913402392)
1016,"Oct 11, 2024","Sep 13, 2024","Dec 13, 2024",Current,Yellowhead Tr Inside Lane Closures Under 97 St,Yellowhead Trail,97 Street NW,107 Street NW,Travel Delays,Three Months,Inside lane closures of Yellowhead Trail under 97 Street. Speed reduction to 50km/h.,YHT Rehab,Construction,Northeast,Road,POINT (-113.492100361271 53.581162766078)
990,"Oct 08, 2024","Oct 08, 2024","Nov 08, 2024",Current,153 Avenue and 97 Street Single Lane Closures,153 Avenue,97 Street,,Travel Delays,32 Days,Alternating single lane closures at the 153 Avenue and 97 Street intersection. Pedestrians to be maintained via alternate paths and / or by flaggers on site.,Shared Use Path Creation,Construction,Northeast,Road and Sidewalk,POINT (-113.491843146671 53.614045930014)
237,"Apr 15, 2024","Apr 29, 2024","Jul 31, 2025",Current,Reduced to Single Lane Each Direction,103A Avenue NW,97 Street NW,101 Street NW,Increased Travel Time,14 Months,"Starts Monday Apr 29/24 until July 31/25. Reduced to single lane in each direction & north sidewalk closures from 99 St-100 St. Alternating xwalk closures on 99 St-103A Ave int. 104 Ave, 99 St-100 St closed, access to CN Tower parkade maintained.",99 St LRT  Pedway Project,Construction,Central,Road and Sidewalk,POINT (-113.48723889205 53.54661818141)
906,"Sep 17, 2024","Jul 22, 2024","May 01, 2026",Current,Shared Use Path and Single Lane Closure on 76 Ave,76 Avenue NW,114 Street NW,115 Street NW,Travel Delays,2 Years,The North shared use path and Westbound travel lane will be closed for tower construction. A split will be used to maintain East/West movements on 76 Ave. Pedestrian and cyclist detours are in place.,Tower Construction,Construction,Central,Road and Sidewalk,POINT (-113.525818873605 53.512239232119)
12,"Apr 27, 2023","May 15, 2023","May 31, 2025",Revised,Parking Lane and Sidewalk Closed on NS Summit Dr,Summit Drive,142 Street NW,98 Avenue NW,Travel Delays,2 Year,Summit Dr will be reduced to one lane in each direction. The sidewalk on the North side will be closed form 142 St to approx 30m East.,Drainage Tunnel Shaft,Construction,Northwest,Road and Sidewalk,POINT (-113.559738692405 53.536648070105)
101,"Jan 31, 2024","Feb 13, 2024","Aug 01, 2025",Revised,107 Street WLRT closure,107 Street NW,102 Avenue NW,104 Avenue NW,Total Closure,Long Term Project,"107 Street, 103 Av - 104 Av SB will be closed permanantly. NB will be reduced to a single lane.107 St, 102 Av - 103 Av will be closed to all traffic except for Fire Hall Access. 103 Av at 107 St will be reduced to a single lane each way.",West LRT Construction,Construction,Central,Road and Sidewalk,POINT (-113.504747803127 53.543014392941)
